25q,75q,airport_code,checkin_date,checkout_date,count,max,mean,median,min,nights,std_dev
141.525,182.76,MAD,2017-03-20,2017-03-22,20,292.62,168.42700000000005,165.14999999999995,94.71,2,46.12950592453929
62.6125,77.88,NCE,2017-03-20,2017-03-21,20,91.51,69.75750000000001,74.49,41.5,1,14.714966915212194
123.435,157.3525,NCE,2017-03-20,2017-03-22,20,183.03,139.27150000000003,148.98,83.0,2,30.091303040649642
70.9,93.0,MAD,2017-03-24,2017-03-25,20,188.7,88.96800000000002,81.68,48.52,1,32.26986301407814
144.2225,181.4725,MAD,2017-03-24,2017-03-26,20,269.57,165.8635,162.03,97.05,2,40.47283042850767
64.7,78.395,NCE,2017-03-24,2017-03-25,20,85.18,70.5685,75.155,42.05,1,13.381526651556461
138.07,170.66,NCE,2017-03-24,2017-03-26,20,174.98,148.32899999999995,155.81,84.25,2,28.997069525257746
72.645,92.19,MAD,2017-03-25,2017-03-26,20,102.44,81.21700000000001,80.87,48.52,1,13.464279096147234
138.45499999999998,162.28,MAD,2017-03-25,2017-03-27,20,213.5,150.296,146.97,91.65,2,28.168222371653968
68.37750000000001,84.445,NCE,2017-03-25,2017-03-26,20,87.34,72.97250000000003,76.075,42.05,1,14.230603373308565
136.99,169.85,NCE,2017-03-25,2017-03-27,20,174.98,144.8755,150.41,84.25,2,28.08136963877428
79.52250000000002,125.08,MAD,2017-03-28,2017-03-29,16,197.33,106.988125,105.78,48.52,1,37.9611870588456
153.72750000000005,196.6075,MAD,2017-03-28,2017-03-30,10,321.48,185.74400000000003,165.485,97.09,2,64.8956044051607
68.6575,79.7975,NCE,2017-03-28,2017-03-29,20,88.58,72.5915,75.61,42.13,1,12.233335507194226
140.5925,156.555,NCE,2017-03-28,2017-03-30,20,185.55,146.267,151.03,84.14,2,25.147167696539803
83.09,152.06,MAD,2017-03-29,2017-03-30,13,167.27,117.82769230769227,134.41,58.65,1,39.49080360325389
165.05,267.0,MAD,2017-03-29,2017-03-31,13,318.24,212.42846153846162,198.06,116.51,2,65.02499363656945
75.14750000000002,92.78,NCE,2017-03-29,2017-03-30,20,98.17,81.6115,82.175,43.15,1,13.378579216124008
148.6825,185.55,NCE,2017-03-29,2017-03-31,20,196.34,163.83400000000006,171.52499999999995,86.3,2,27.47488660002459
76.71,136.3175,MAD,2017-03-30,2017-03-31,20,193.34,114.477,110.79,64.08,1,40.89335077851578
155.4675,261.39,MAD,2017-03-30,2017-04-01,20,361.81,212.546,202.955,128.07,2,64.79835056380273
76.375,93.8825,NCE,2017-03-30,2017-03-31,20,104.19,84.42399999999998,85.74,43.41,1,13.622682864291185
155.065,189.655,NCE,2017-03-30,2017-04-01,20,225.2,172.27100000000004,173.76,86.82,2,31.774535302411753
67.69,88.54,MAD,2017-03-31,2017-04-01,20,137.65,82.975,80.345,58.74,1,20.66362746470232
137.465,193.645,MAD,2017-03-31,2017-04-02,19,299.9,171.43947368421053,161.82,116.51,2,46.697994541008356
77.8625,93.5875,NCE,2017-03-31,2017-04-01,20,118.67,87.49449999999999,85.22,64.73,1,14.379984435611224
167.95499999999996,239.4875,NCE,2017-03-31,2017-04-02,20,293.43,205.574,199.36,147.58,2,46.01828577058426
70.325,88.63,MAD,2017-04-01,2017-04-02,19,138.51,83.48736842105264,80.53,56.34,1,21.300909433403504
141.3725,186.9925,MAD,2017-04-01,2017-04-03,18,364.63,172.8738888888889,161.01,104.66,2,56.63351680024294
85.7525,114.205,NCE,2017-04-01,2017-04-02,20,146.72,98.89,90.81,56.1,1,23.024913966351644
160.64999999999995,223.465,NCE,2017-04-01,2017-04-03,20,304.93,187.9015,170.33999999999997,111.66,2,47.08251281974076
69.455,81.60249999999998,MAD,2017-04-02,2017-04-03,20,129.92,76.81,73.55000000000003,48.32,1,17.51666244345351
149.2975,225.4775,MAD,2017-04-02,2017-04-04,20,272.72,187.292,176.625,101.46,2,47.835679218714866
79.2775,93.4125,NCE,2017-04-02,2017-04-03,20,115.15,85.898,84.82,55.83,1,14.214461724077461
166.90499999999997,197.5575,NCE,2017-04-02,2017-04-04,20,225.48,177.3525,171.95499999999996,111.66,2,26.93910811538926
76.045,130.9925,MAD,2017-04-03,2017-04-04,20,181.46,103.68,93.68,57.98,1,35.03843093098296
148.385,299.175,MAD,2017-04-03,2017-04-05,11,732.44,276.95909090909095,187.47,115.96,2,204.3551337478237
83.8125,107.705,NCE,2017-04-03,2017-04-04,20,119.45,94.571,93.76,55.83,1,16.489471888386685
167.415,223.4925,NCE,2017-04-03,2017-04-05,20,255.54,195.3325,195.145,111.66,2,39.567464022988965
79.95,170.56,MAD,2017-04-04,2017-04-05,13,276.09,127.85615384615384,117.26,58.04,1,61.79409296721674
148.97500000000005,335.8075,MAD,2017-04-04,2017-04-06,10,552.18,256.702,207.87,115.13,2,142.42420657240038
90.74,126.25,NCE,2017-04-04,2017-04-05,20,132.45,104.73700000000001,102.73,55.43,1,20.92044281004637
184.005,257.8225,NCE,2017-04-04,2017-04-06,20,282.38,216.9025,216.885,111.66,2,46.20180309479844
84.9525,154.335,MAD,2017-04-05,2017-04-06,14,276.32,133.93,124.83,63.37,1,59.4672635217834
164.565,266.45,MAD,2017-04-05,2017-04-07,14,403.28,227.35142857142856,229.375,115.22,2,74.7088804171687
91.415,125.1575,NCE,2017-04-05,2017-04-06,20,139.01,105.9535,102.82,55.48,1,21.342157754818963
180.9475,255.84,NCE,2017-04-05,2017-04-07,20,287.81,215.5195,215.33,110.86,2,47.629548156911795
74.41250000000002,105.8875,MAD,2017-04-06,2017-04-07,20,133.36,90.742,89.62,58.57,1,20.852814678119593
152.5625,189.1,MAD,2017-04-06,2017-04-08,20,213.59,168.6245,168.565,124.15,2,25.87413633951459
94.0175,128.35500000000002,NCE,2017-04-06,2017-04-07,20,148.29,110.02899999999997,103.62,55.48,1,24.70605612949352
182.43,234.71,NCE,2017-04-06,2017-04-08,20,302.99,205.46450000000004,198.17,106.69,2,47.219834868410956
70.43,84.5675,MAD,2017-04-07,2017-04-08,20,96.04,78.90650000000002,78.435,62.32,1,9.518445956197503
145.345,182.485,MAD,2017-04-07,2017-04-09,19,232.64,162.95263157894738,153.67,114.48,2,28.94737981658468
87.5025,129.39249999999998,NCE,2017-04-07,2017-04-08,20,160.34,106.25050000000002,94.18,51.22,1,30.18827194283795
178.59,256.12,NCE,2017-04-07,2017-04-09,20,311.18,206.926,194.805,102.45,2,57.07663928069826
72.675,90.975,MAD,2017-04-08,2017-04-09,19,137.66,83.34842105263158,80.04,61.28,1,17.31997217830646
144.815,184.085,MAD,2017-04-08,2017-04-10,19,339.35,168.92368421052632,155.4,114.1,2,47.54865650754515
89.31,127.2575,NCE,2017-04-08,2017-04-09,20,136.86,102.126,99.38,51.22,1,23.74148631892239
175.48000000000005,239.925,NCE,2017-04-08,2017-04-10,20,256.12,199.57050000000004,203.025,102.45,2,43.65629748688221
70.105,82.8525,MAD,2017-04-09,2017-04-10,20,90.63,74.35150000000002,73.065,48.62,1,11.195396269519849
144.48,165.025,MAD,2017-04-09,2017-04-11,19,258.04,157.4678947368421,153.54,107.16,2,31.14848125046431
86.0325,104.425,NCE,2017-04-09,2017-04-10,20,118.68,94.368,96.1,55.45,1,17.876496654310625
176.415,220.9825,NCE,2017-04-09,2017-04-11,20,258.57,201.2105,203.655,138.62,2,33.991994951598144
